subject,predicate,object
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature132,http://www.w3.org/2000/01/rdf-schema#comment,cottoned empaling larking setlines cubicity ennead guaranis quietisms preconceive maligners fluxed swamps shuteye nonsensitive bedouin bailouts reaccustomed dramamine reloader trampoliners workaholism harries gauziness singing impregnations loggias bicyclists regurgitated presbyope breakfasting pollutants reinstating encephalography robotization advisement hereditariness unsung giggling eczematous demeans uncashed
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature132,http://www.w3.org/2000/01/rdf-schema#label,vapourers chainmen pieing
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature132,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature253,http://purl.org/dc/elements/1.1/date,2000-07-13
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature253,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature253,http://www.w3.org/2000/01/rdf-schema#comment,mammy farmhand restrictively misunderstand transferrers gaming airdrome paintiest theoretical lassie goldurns prospectuses paisan resorters expiates coastings swordmen enforce bhakti fulcrums
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature253,http://www.w3.org/2000/01/rdf-schema#label,gracelessly furler
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature253,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature144,http://purl.org/dc/elements/1.1/date,2000-07-06
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature144,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature144,http://www.w3.org/2000/01/rdf-schema#comment,viticulture privileges enplaned montaged toothiest recompounded sappiness overspends discovering buttonholer bezils sociologic extortionists geegaw ontologies powders bookshops loins hypoderm adulteresses elicitors nitrated
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature144,http://www.w3.org/2000/01/rdf-schema#label,antepast
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature144,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature265,http://purl.org/dc/elements/1.1/date,2000-07-15
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature265,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature265,http://www.w3.org/2000/01/rdf-schema#comment,revictuals lappets circumstantiation dynes sackfuls hemmed settlings loftiness fishhooks rascality sawteeth impetuousness sighers footrests overlying unfair copied lathing valvelets denominated
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature265,http://www.w3.org/2000/01/rdf-schema#label,nominating
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature265,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature156,http://purl.org/dc/elements/1.1/date,2000-07-13
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature156,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature156,http://www.w3.org/2000/01/rdf-schema#comment,interacademic incarceration millirems benzoins garnering moues ratified cannulae recirculating applicatively reacclimates sacked woodbines levitating necking rickey flavorings beakers unforseen suctions seasoning
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature156,http://www.w3.org/2000/01/rdf-schema#label,nonparliamentary
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature156,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature277,http://purl.org/dc/elements/1.1/date,2000-06-25
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature277,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature277,http://www.w3.org/2000/01/rdf-schema#comment,earache soffits disbelievers rapidities flighted bibliotherapies nullifying kilters pustulation hennery neckless stealthiest kindler unpainted hysterical kerbing visards mints tailoress apolune anthemed broadlooms glassie posits uninsurable scrutinize gamekeepers pommelled demagnification disallowing gesticulating peopling softness jingoistic sauntered lowlifes blousy reinsman
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature277,http://www.w3.org/2000/01/rdf-schema#label,pursuits fishings truckle
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature277,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature168,http://purl.org/dc/elements/1.1/date,2000-06-29
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature168,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature168,http://www.w3.org/2000/01/rdf-schema#comment,boniness swaybacks sobber progressiveness sacrilegiously shammed scoundrels defoliation porticoes freezers fellowship sleekier endue prorestoration naturalists deerstalkers homy roscoes gamboled mousily arranges climaxing ecliptics decedents trouts browsed renovates founded gemmily flexing antihistamines manholes freshener unmingled scandaled undertaking emblazoning harrumph signorina phosphorous moxie
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature168,http://www.w3.org/2000/01/rdf-schema#label,misrepresentations convection matrilinearly
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature168,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature289,http://purl.org/dc/elements/1.1/date,2000-07-13
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature289,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature289,http://www.w3.org/2000/01/rdf-schema#comment,gobs amenably distributors maidservants glazieries peacekeeper gallons minimizes shooed nickelodeons curries refinements owning diffracted diurnals gallantly woolmen ratfish routines panicles
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature289,http://www.w3.org/2000/01/rdf-schema#label,noiseless memorizing
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature289,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating1,3
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://purl.org/dc/elements/1.1/date,2008-02-03
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewDate,2007-08-15T00:00:00
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/reviewFor,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromProducer1/Product1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/RatingSite1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://purl.org/stuff/rev#reviewer,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Reviewer1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/Review
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://purl.org/dc/elements/1.1/title,nearsightedly buskin recompensable capacitances bootee lockets enticement disservices strategists licensors kennelled barding autocrats lathworks
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://purl.org/stuff/rev#text,blueings tiresomely outdistanced gothicize ejectable materiels homogeneously paintiest sneezers workboat interphone ascii unconnected instrumentalist topographical disgruntling pederast sceptring racier evens trimeter banes misdemeanor webless rehinge mitigative defamers naturalist accustoms reclean valiancies pilled bearcats tents demultiplexes skulking publicized typecase supervisors escapeway recoinage blinding execs conformism treasures durums rondelle drawing oppressing bores coplots monogamousness zoospores unlikelihood preengaged overhands limekiln penetrator ultrasound lymphocytic radiolucencies chefs feoffment conventionalism cascading machos abundantly godchild frequented misplacing repairers surfy antedating chunter cancelers photoflash mistaught testacies solidest incarnation arrayers gruelingly honorands slobs builders preadjusting cpl fosterage trulls fakers toepiece maximally bouldery hampshirites dermatologies flopover noctambulation frizzler submissively reconsolidate clapping enunciators championed nigglingly tongers liquoring reminder podiatrists tussocks reprice renovating chevrolets refolds fantastical polarity ennuis franchisers undiluted macaroons
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating4,1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/dataFromRatingSite1/Review7,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/rating2,4
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature120,http://purl.org/dc/elements/1.1/date,2000-07-16
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature120,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature120,http://www.w3.org/2000/01/rdf-schema#comment,candlewicks fruitions rubellas fainer retransmissions beguiled yelping overmatches tuberosity axseed mischances carafe squawkers glossier ephedra shewed jobbers standishes violater pajama lineages ogling trashed cockles unpeopling manubriums sacrificing bellybutton celibacies colonels prophets fineable tracts instructs coarseness shackles transistors lanciers holidaying divesting demeanors buys slalomed lories
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature120,http://www.w3.org/2000/01/rdf-schema#label,brains favoring
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature120,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature241,http://purl.org/dc/elements/1.1/date,2000-06-23
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature241,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature241,http://www.w3.org/2000/01/rdf-schema#comment,reenjoyed orrery dignifying configurations communists shrubby moonish nonconciliatory glary sunrises soddy nones austral reinvestigations anglicizes chrysalides annatto kneepan recruited vised machinized overintensely tarriest franchisers flagship corolla integrationist
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature241,http://www.w3.org/2000/01/rdf-schema#label,tzitzis basifying
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature241,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2,http://purl.org/dc/elements/1.1/date,2000-07-06
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2,http://www.w3.org/2000/01/rdf-schema#comment,rearms invasiveness foemen inkstand aircrew bravadoes necking enlivenment discolorations pillaging dispossessed pocketknives upsweeps monosyllables slitted secularized visualizer rescheduled graters sheepish airframes ninepin virulence ramshackle packthreads batiste pastured priors ballades tormented towpaths transfused yahweh admonishments insertions afterwards nontemporally scrawlier luxes
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2,http://www.w3.org/2000/01/rdf-schema#label,weapons
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature2,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature63,http://purl.org/dc/elements/1.1/date,2000-07-20
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature63,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature63,http://www.w3.org/2000/01/rdf-schema#comment,ecstatically sufferers portioner flagella merrier upcurve condos bunds cuckolded undertrained inning hobbled cubebs incompletely garbling provincially malignancy aced despisers sucked presifted objurgations immunized ratsbane
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature63,http://www.w3.org/2000/01/rdf-schema#label,ethnicity antiparticles
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature63,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature51,http://purl.org/dc/elements/1.1/date,2000-07-22
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature51,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature51,http://www.w3.org/2000/01/rdf-schema#comment,smidgens pareve counselable cacaos barometrograph winsomest starched chekhov anapest milliliters variorums commencement apteryxes trichinoses spiderier presifts alimenting inflictor prideful equals mainframes counterpoints
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature51,http://www.w3.org/2000/01/rdf-schema#label,enjoyably
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature51,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature87,http://purl.org/dc/elements/1.1/date,2000-07-07
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature87,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature87,http://www.w3.org/2000/01/rdf-schema#comment,outfaces endear workhouse dom motorists frizzy lallygagged salinity broaching equivocates recapitulates collocated divinize genic maladministering envied nappy incentives salvages cloverleaf plainsmen librettos inflamers
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature87,http://www.w3.org/2000/01/rdf-schema#label,ataxy
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature87,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature75,http://purl.org/dc/elements/1.1/date,2000-07-09
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature75,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature75,http://www.w3.org/2000/01/rdf-schema#comment,tolerative ravishments attraction provocatively remits pieta reawakened ostensive pauperization subrules denuding hedges gangplow glaciology oratories carnify broodiest celebre relenting boxer hotdogging mouthwash unexampled multilayer ceder limeades unmended diluted lays anneals bludgeoning mediumistic vaster goebbels sponsorial digitalized ballyhooing arsenites esculents cupronickel hysterectomies thunderhead overscrupulous aortal faiths nits batistes chewer asks beholden
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature75,http://www.w3.org/2000/01/rdf-schema#label,flinders meeker fumes
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature75,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature208,http://purl.org/dc/elements/1.1/date,2000-07-09
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature208,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature208,http://www.w3.org/2000/01/rdf-schema#comment,lethes universalist axillaries crossbeams disemploys blandishers interlining swilled hodad awards earful tammies filmsets misname guerrillas creepier bodegas kleig queenliness aptnesses reverifies staked
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature208,http://www.w3.org/2000/01/rdf-schema#label,scalawags
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature208,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/vocabulary/ProductFeature
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature99,http://purl.org/dc/elements/1.1/date,2000-07-15
http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/ProductFeature99,http://purl.org/dc/elements/1.1/publisher,http://www4.wiwiss.fu-berlin.de/bizer/bsbm/v01/instances/StandardizationInstitution1
